ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2020-09-02 00:00:00,001,颗粒物,0.71,20,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2020-09-02 00:00:00,002,二氧化硫,32.74,80,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2020-09-02 00:00:00,003,氮氧化物,131.84,250,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2020-09-02 00:00:00,004,一氧化碳,3.71,80,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2020-09-02 00:00:00,008,氯化氢,12.44,50,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2020-09-02 00:00:00,001,颗粒物,0.12,20,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2020-09-02 00:00:00,002,二氧化硫,32.89,80,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2020-09-02 00:00:00,003,氮氧化物,149.65,250,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2020-09-02 00:00:00,004,一氧化碳,3.38,80,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2020-09-02 00:00:00,008,氯化氢,11.97,50,,0,0,2020-09-03T09:21:21.43,2020-09-03T09:21:31.087,20200902
