ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B78968394EB7E4F234FE5DC,2020-09-06 00:00:00,001,颗粒物,3.44,20,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B78968394EB7E4F234FE5DC,2020-09-06 00:00:00,002,二氧化硫,13.34,80,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B78968394EB7E4F234FE5DC,2020-09-06 00:00:00,003,氮氧化物,117.31,250,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B78968394EB7E4F234FE5DC,2020-09-06 00:00:00,004,一氧化碳,0.64,80,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B78968394EB7E4F234FE5DC,2020-09-06 00:00:00,008,氯化氢,31.76,50,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B789683BD04B3712E36E717,2020-09-06 00:00:00,001,颗粒物,2.5,20,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B789683BD04B3712E36E717,2020-09-06 00:00:00,002,二氧化硫,21.2,80,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B789683BD04B3712E36E717,2020-09-06 00:00:00,003,氮氧化物,118.58,250,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B789683BD04B3712E36E717,2020-09-06 00:00:00,004,一氧化碳,3.1,80,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
1DCC00CE2B789683DAA3A55E773F97D1,1DCC00CE2B789683BD04B3712E36E717,2020-09-06 00:00:00,008,氯化氢,31.53,50,,0,0,2020-09-07T09:23:43.613,2020-09-07T09:23:59.093,20200906
