ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B789683D556AE3CF1E45FD8,2020-09-16 00:00:00,001,颗粒物,3.34,20,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B789683D556AE3CF1E45FD8,2020-09-16 00:00:00,002,二氧化硫,10.9,80,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B789683D556AE3CF1E45FD8,2020-09-16 00:00:00,003,氮氧化物,73.44,250,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B789683D556AE3CF1E45FD8,2020-09-16 00:00:00,004,一氧化碳,5.48,80,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B789683D556AE3CF1E45FD8,2020-09-16 00:00:00,008,氯化氢,25.4,50,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B78968379819D599D1F6D32,2020-09-16 00:00:00,001,颗粒物,4.35,20,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B78968379819D599D1F6D32,2020-09-16 00:00:00,002,二氧化硫,11.7,80,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B78968379819D599D1F6D32,2020-09-16 00:00:00,003,氮氧化物,63.57,250,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B78968379819D599D1F6D32,2020-09-16 00:00:00,004,一氧化碳,0.66,80,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B78968379819D599D1F6D32,2020-09-16 00:00:00,008,氯化氢,15.43,50,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B7896832E1C61252A0286EB,2020-09-16 00:00:00,001,颗粒物,0.57,20,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B7896832E1C61252A0286EB,2020-09-16 00:00:00,002,二氧化硫,7.97,80,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B7896832E1C61252A0286EB,2020-09-16 00:00:00,003,氮氧化物,65.08,250,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B7896832E1C61252A0286EB,2020-09-16 00:00:00,004,一氧化碳,1.69,80,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
1DCC00CE2B78968366E69B83DC24ADEA,1DCC00CE2B7896832E1C61252A0286EB,2020-09-16 00:00:00,008,氯化氢,13.6,50,,0,0,2020-09-17T09:21:32.067,2020-09-17T09:21:40.37,20200916
